match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
ACF Fiorentina vs FC Internazionale Milano,ACF Fiorentina,FC Internazionale Milano,2026-03-22 19:45:00+00:00,Home Win,0.7445638179779053,5.6,0.17857142857142858,0.5659923894064767,3.1695573806762694,17.225855329762336,0.7445638179779053
Aston Villa FC vs West Ham United FC,Aston Villa FC,West Ham United FC,2026-03-22 14:15:00+00:00,Away Win,0.4332630932331085,5.0,0.2,0.2332630932331085,1.1663154661655426,7.289471663534641,0.4332630932331085
Olympique Lyonnais vs AS Monaco FC,Olympique Lyonnais,AS Monaco FC,2026-03-22 14:00:00+00:00,Home Win,0.6803588271141052,3.0,0.3333333333333333,0.3470254937807719,1.0410764813423157,13.013456016778946,0.6803588271141052
Tottenham Hotspur FC vs Nottingham Forest FC,Tottenham Hotspur FC,Nottingham Forest FC,2026-03-22 14:15:00+00:00,Away Win,0.5858948230743408,3.15,0.31746031746031744,0.2684345056140234,0.8455686926841735,9.83219410097876,0.5858948230743408
Olympique de Marseille vs Lille OSC,Olympique de Marseille,Lille OSC,2026-03-22 16:15:00+00:00,Away Win,0.3739054501056671,4.4,0.22727272727272727,0.14663272283293985,0.6451839804649355,4.743999856359819,0.4560621380805969
Real Madrid CF vs Club Atlético de Madrid,Real Madrid CF,Club Atlético de Madrid,2026-03-22 20:00:00+00:00,Home Win,0.8444792628288269,1.9,0.5263157894736842,0.3181634733551427,0.604510599374771,16.79196109374364,0.8444792628288269
Aston Villa FC vs West Ham United FC,Aston Villa FC,West Ham United FC,2026-03-22 14:15:00+00:00,Draw,0.34767845273017883,4.0,0.25,0.09767845273017883,0.39071381092071533,3.2559484243392944,0.4332630932331085
