match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds vs Wolves,Leeds,Wolves,2026-04-18 14:00:00+00:00,Away Win,0.6876457929611206,6.1,0.1639344262295082,0.5237113667316124,3.1946393370628354,15.659996750308016,0.6876457929611206
Udinese vs Parma,Udinese,Parma,2026-04-18 13:00:00+00:00,Away Win,0.773298978805542,4.06,0.24630541871921185,0.5269935600863301,2.1395938539505,17.48034194404004,0.773298978805542
Everton vs Liverpool,Everton,Liverpool,2026-04-19 13:00:00+00:00,Home Win,0.8882983922958374,3.37,0.29673590504451036,0.591562487251327,1.9935655820369722,21.029172806297176,0.8882983922958374
Strasbourg vs Rennes,Strasbourg,Rennes,2026-04-19 15:15:00+00:00,Home Win,0.879241943359375,2.76,0.3623188405797102,0.5169231027796648,1.4267077636718748,20.265735279430043,0.879241943359375
Tottenham vs Brighton,Tottenham,Brighton,2026-04-18 16:30:00+00:00,Away Win,0.6512985825538635,2.5,0.4,0.2512985825538635,0.6282464563846588,10.470774273077648,0.6512985825538635
Union Berlin vs VfL Wolfsburg,Union Berlin,VfL Wolfsburg,2026-04-18 13:30:00+00:00,Home Win,0.6536929607391357,2.23,0.4484304932735426,0.20526246746559312,0.45773530244827265,9.303563057891722,0.6536929607391357
Juventus vs Bologna,Juventus,Bologna,2026-04-19 18:45:00+00:00,Home Win,0.8566035628318787,1.56,0.641025641025641,0.2155779218062377,0.33630155801773076,15.013462411505838,0.8566035628318787
