match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Auxerre vs Nantes,Auxerre,Nantes,2026-04-11 17:00:00+00:00,Away Win,0.7300420999526978,4.4,0.22727272727272727,0.5027693726799705,2.21218523979187,16.266067939646103,0.7300420999526978
Genoa vs Sassuolo,Genoa,Sassuolo,2026-04-12 10:30:00+00:00,Home Win,0.6775773167610168,2.24,0.4464285714285714,0.23114874533244545,0.5177731895446779,10.438975595658826,0.6775773167610168
Lyon vs Lorient,Lyon,Lorient,2026-04-12 18:45:00+00:00,Home Win,0.8436893820762634,1.74,0.5747126436781609,0.26897673839810254,0.4680195248126984,15.811470432861432,0.8436893820762634
Liverpool vs Fulham,Liverpool,Fulham,2026-04-11 16:30:00+00:00,Home Win,0.7899161577224731,1.7,0.5882352941176471,0.20168086360482607,0.3428574681282043,12.244909576007297,0.7899161577224731
Bologna vs Lecce,Bologna,Lecce,2026-04-12 16:00:00+00:00,Home Win,0.6775773167610168,1.9,0.5263157894736842,0.15126152728733266,0.2873969018459319,7.983247273498109,0.6775773167610168
