match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
RB Leipzig vs Union Berlin,RB Leipzig,Union Berlin,2026-04-24 18:30:00+00:00,Away Win,0.683355987071991,9.2,0.10869565217391305,0.5746603348980779,5.286875081062316,16.118521588604622,0.683355987071991
Torino vs Inter,Torino,Inter,2026-04-26 16:00:00+00:00,Home Win,0.7662382125854492,7.75,0.12903225806451613,0.6372059545209331,4.9383461475372314,18.29017091680456,0.7662382125854492
Marseille vs Nice,Marseille,Nice,2026-04-26 18:45:00+00:00,Away Win,0.7495471835136414,6.17,0.1620745542949757,0.5874726292186656,3.624706122279167,17.527592467500806,0.7495471835136414
Le Havre vs Metz,Le Havre,Metz,2026-04-26 15:15:00+00:00,Away Win,0.7495471835136414,5.38,0.1858736059479554,0.5636735775656859,3.0325638473033902,17.30915437958556,0.7495471835136414
Wolves vs Tottenham,Wolves,Tottenham,2026-04-25 14:00:00+00:00,Home Win,0.8557075262069702,4.6,0.2173913043478261,0.638316221859144,2.9362546205520625,20.390657087167103,0.8557075262069702
Osasuna vs Sevilla,Osasuna,Sevilla,2026-04-26 16:30:00+00:00,Away Win,0.8436992764472961,3.7,0.27027027027027023,0.573429006177026,2.1216873228549957,19.645252989398106,0.8436992764472961
Alaves vs Mallorca,Alaves,Mallorca,2026-04-25 12:00:00+00:00,Home Win,0.677494466304779,2.24,0.4464285714285714,0.23106589487620766,0.5175876045227052,10.435233962151313,0.677494466304779
Lyon vs Auxerre,Lyon,Auxerre,2026-04-25 13:00:00+00:00,Home Win,0.8742989301681519,1.73,0.5780346820809249,0.29626424808722696,0.5125371491909027,17.552642095578857,0.8742989301681519
Arsenal vs Newcastle,Arsenal,Newcastle,2026-04-25 16:30:00+00:00,Home Win,0.8929266929626465,1.52,0.6578947368421053,0.23503195612054117,0.3572485733032227,17.17541217803955,0.8929266929626465
Liverpool vs Crystal Palace,Liverpool,Crystal Palace,2026-04-25 14:00:00+00:00,Home Win,0.8557075262069702,1.49,0.6711409395973155,0.18456658660965475,0.2750042140483856,14.030827247366611,0.8557075262069702
