match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Athletic Club vs Osasuna,Athletic Club,Osasuna,2026-04-21 17:00:00+00:00,Away Win,0.6944615840911865,4.8,0.20833333333333334,0.48612825075785315,2.3334156036376954,15.351418444984837,0.6944615840911865
Udinese vs Parma,Udinese,Parma,2026-04-18 13:00:00+00:00,Away Win,0.7286807894706726,4.03,0.24813895781637715,0.4805418316542954,1.9365835815668109,15.978412389165106,0.7286807894706726
Everton vs Liverpool,Everton,Liverpool,2026-04-19 13:00:00+00:00,Home Win,0.8426781892776489,3.35,0.29850746268656714,0.5441707265910818,1.822971934080124,19.393318447660892,0.8426781892776489
Strasbourg vs Rennes,Strasbourg,Rennes,2026-04-19 15:15:00+00:00,Home Win,0.8245253562927246,2.79,0.35842293906810035,0.46610241722462425,1.3004257440567017,18.162370727048906,0.8245253562927246
Tottenham vs Brighton,Tottenham,Brighton,2026-04-18 16:30:00+00:00,Away Win,0.7346805930137634,2.5,0.4,0.3346805930137634,0.8367014825344086,13.945024708906809,0.7346805930137634
Union Berlin vs VfL Wolfsburg,Union Berlin,VfL Wolfsburg,2026-04-18 13:30:00+00:00,Home Win,0.7282535433769226,2.23,0.4484304932735426,0.27982305010338,0.6240054017305374,12.68303662053938,0.7282535433769226
Juventus vs Bologna,Juventus,Bologna,2026-04-19 18:45:00+00:00,Home Win,0.9215891361236572,1.54,0.6493506493506493,0.2722384867730079,0.4192472696304322,19.40959581622371,0.9215891361236572
Monaco vs Auxerre,Monaco,Auxerre,2026-04-19 13:00:00+00:00,Home Win,0.8488190770149231,1.58,0.6329113924050632,0.21590768460985987,0.34113414168357853,14.704057831188727,0.8488190770149231
