match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Lecce vs Atalanta,Lecce,Atalanta,2026-04-06 13:00:00+00:00,Home Win,0.9250391125679016,5.0,0.2,0.7250391125679017,3.625195562839508,22.657472267746925,0.9250391125679016
Inter vs AS Roma,Inter,AS Roma,2026-04-05 18:45:00+00:00,Away Win,0.7517560720443726,5.63,0.17761989342806395,0.5741361786163086,3.2323866856098173,17.45349182294718,0.7517560720443726
Mallorca vs Real Madrid,Mallorca,Real Madrid,2026-04-04 14:15:00+00:00,Home Win,0.4994637370109558,6.0,0.16666666666666666,0.3327970703442892,1.9967824220657349,9.983912110328674,0.4994637370109558
Napoli vs AC Milan,Napoli,AC Milan,2026-04-06 18:45:00+00:00,Home Win,0.9250391125679016,2.68,0.3731343283582089,0.5519047842096927,1.4791048216819764,22.01048841788655,0.9250391125679016
Le Havre vs Auxerre,Le Havre,Auxerre,2026-04-05 15:15:00+00:00,Away Win,0.7305727601051331,3.34,0.29940119760479045,0.4311715625003426,1.4401130187511444,15.38582284990539,0.7305727601051331
Girona vs Villarreal,Girona,Villarreal,2026-04-06 19:00:00+00:00,Draw,0.5903580188751221,3.55,0.28169014084507044,0.30866787803005163,1.0957709670066833,10.742852617712582,0.5903580188751221
Alaves vs Osasuna,Alaves,Osasuna,2026-04-05 19:00:00+00:00,Away Win,0.6115763187408447,3.3,0.30303030303030304,0.3085460157105417,1.0182018518447875,11.067411433095517,0.6115763187408447
Lille vs Lens,Lille,Lens,2026-04-04 19:05:00+00:00,Home Win,0.740634560585022,2.72,0.3676470588235294,0.3729875017614926,1.0145260047912599,14.74601751150087,0.740634560585022
Monaco vs Marseille,Monaco,Marseille,2026-04-05 18:45:00+00:00,Home Win,0.8176173567771912,2.3,0.4347826086956522,0.38283474808153894,0.8805199205875396,16.933075395914223,0.8176173567771912
Werder Bremen vs RB Leipzig,Werder Bremen,RB Leipzig,2026-04-04 13:30:00+00:00,Home Win,0.5369684100151062,3.46,0.28901734104046245,0.24795106897464375,0.8579106986522675,8.718604661100281,0.5369684100151062
Metz vs Nantes,Metz,Nantes,2026-04-05 15:15:00+00:00,Away Win,0.7193924784660339,2.54,0.39370078740157477,0.32569169106445917,0.8272568953037263,13.429495053631921,0.7193924784660339
Sassuolo vs Cagliari,Sassuolo,Cagliari,2026-04-04 13:00:00+00:00,Home Win,0.7595905661582947,2.06,0.4854368932038835,0.2741536729544112,0.5647565662860871,13.319730336936015,0.7595905661582947
Getafe vs Athletic Club,Getafe,Athletic Club,2026-04-05 12:00:00+00:00,Home Win,0.4994637370109558,3.1,0.3225806451612903,0.1768830918496655,0.5483375847339631,6.527828389690036,0.4994637370109558
Lazio vs Parma,Lazio,Parma,2026-04-04 18:45:00+00:00,Home Win,0.7595905661582947,1.87,0.53475935828877,0.2248312078695247,0.4204343587160111,12.081447089540546,0.7595905661582947
Strasbourg vs Nice,Strasbourg,Nice,2026-04-04 15:00:00+00:00,Away Win,0.29990696907043457,4.57,0.2188183807439825,0.08108858832645208,0.37057484865188606,2.595061965349342,0.6232220530509949
Cremonese vs Bologna,Cremonese,Bologna,2026-04-05 13:00:00+00:00,Home Win,0.3548346161842346,3.68,0.2717391304347826,0.08309548574945202,0.3057913875579834,2.8525316003543226,0.5853097438812256
Juventus vs Genoa,Juventus,Genoa,2026-04-06 16:00:00+00:00,Home Win,0.8918746113777161,1.44,0.6944444444444444,0.19743016693327164,0.2842994403839111,16.153377294540405,0.8918746113777161
Cremonese vs Bologna,Cremonese,Bologna,2026-04-05 13:00:00+00:00,Away Win,0.5853097438812256,2.17,0.4608294930875576,0.12448025079366798,0.27012214422225944,5.771840688509817,0.5853097438812256
Getafe vs Athletic Club,Getafe,Athletic Club,2026-04-05 12:00:00+00:00,Away Win,0.4349328279495239,2.86,0.3496503496503497,0.08528247829917424,0.24390788793563833,3.2783318270919133,0.4994637370109558
Angers vs Lyon,Angers,Lyon,2026-04-05 13:00:00+00:00,Away Win,0.649177610874176,1.86,0.5376344086021505,0.11154320227202552,0.20747035622596743,6.03111500656882,0.649177610874176
Strasbourg vs Nice,Strasbourg,Nice,2026-04-04 15:00:00+00:00,Home Win,0.6232220530509949,1.89,0.5291005291005292,0.09412152395046569,0.1778896802663803,4.996901131078099,0.6232220530509949
