match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Inter vs Cagliari,Inter,Cagliari,2026-04-17 18:45:00+00:00,Away Win,0.7113090753555298,16.0,0.0625,0.6488090753555298,10.380945205688477,17.301575342814125,0.7113090753555298
Leeds vs Wolves,Leeds,Wolves,2026-04-18 14:00:00+00:00,Away Win,0.6930249333381653,5.8,0.1724137931034483,0.520611140234717,3.0195446133613584,15.726794861257076,0.6930249333381653
Union Berlin vs VfL Wolfsburg,Union Berlin,VfL Wolfsburg,2026-04-18 13:30:00+00:00,Home Win,0.6627705097198486,2.21,0.45248868778280543,0.2102818219370432,0.4647228264808655,9.601711290926973,0.6627705097198486
Lens vs Toulouse,Lens,Toulouse,2026-04-17 18:45:00+00:00,Home Win,0.7916858792304993,1.63,0.6134969325153374,0.17818894671516183,0.29044798314571374,11.525713616893404,0.7916858792304993
Lille vs Nice,Lille,Nice,2026-04-18 19:05:00+00:00,Home Win,0.7907505035400391,1.6,0.625,0.16575050354003906,0.26520080566406257,11.05003356933594,0.7907505035400391
