match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Leeds vs Wolves,Leeds,Wolves,2026-04-18 14:00:00+00:00,Away Win,0.6876457929611206,5.8,0.1724137931034483,0.5152319998576723,2.9883455991744996,15.56429999570052,0.6876457929611206
Udinese vs Parma,Udinese,Parma,2026-04-18 13:00:00+00:00,Away Win,0.773298978805542,4.2,0.23809523809523808,0.5352037407103039,2.2478557109832766,17.561372742056847,0.773298978805542
Everton vs Liverpool,Everton,Liverpool,2026-04-19 13:00:00+00:00,Home Win,0.8882983922958374,3.35,0.29850746268656714,0.5897909296092703,1.9757996141910552,21.019144831819737,0.8882983922958374
Strasbourg vs Rennes,Strasbourg,Rennes,2026-04-19 15:15:00+00:00,Home Win,0.879241943359375,2.6,0.3846153846153846,0.4946265587439904,1.2860290527343752,20.094203948974613,0.879241943359375
Tottenham vs Brighton,Tottenham,Brighton,2026-04-18 16:30:00+00:00,Away Win,0.6512985825538635,2.5,0.4,0.2512985825538635,0.6282464563846588,10.470774273077648,0.6512985825538635
Union Berlin vs VfL Wolfsburg,Union Berlin,VfL Wolfsburg,2026-04-18 13:30:00+00:00,Home Win,0.6536929607391357,2.21,0.45248868778280543,0.2012042729563303,0.44466144323349,9.187219901518388,0.6536929607391357
Juventus vs Bologna,Juventus,Bologna,2026-04-19 18:45:00+00:00,Home Win,0.8566035628318787,1.52,0.6578947368421053,0.19870882598977335,0.30203741550445556,14.521029591560364,0.8566035628318787
