match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Sunderland vs Tottenham,Sunderland,Tottenham,2026-04-12 13:00:00+00:00,Home Win,0.6745496392250061,2.72,0.3676470588235294,0.3069025804014767,0.8347750186920166,12.133357829825822,0.6745496392250061
Pescara vs Sampdoria,Pescara,Sampdoria,2026-04-11 13:00:00+00:00,Home Win,0.696273148059845,2.27,0.44052863436123346,0.2557445136986115,0.5805400460958481,11.427953663304095,0.696273148059845
Nice vs Le Havre,Nice,Le Havre,2026-04-12 15:15:00+00:00,Home Win,0.675036609172821,1.99,0.5025125628140703,0.17252404635875074,0.3433228522539139,8.669768996310957,0.675036609172821
