match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Torino vs Inter,Torino,Inter,2026-04-26 16:00:00+00:00,Home Win,0.7490202784538269,7.6,0.13157894736842105,0.6174413310854059,4.6925541162490845,17.7748261979132,0.7490202784538269
Marseille vs Nice,Marseille,Nice,2026-04-26 18:45:00+00:00,Away Win,0.7636227607727051,6.5,0.15384615384615385,0.6097766069265512,3.963547945022583,18.016127022829924,0.7636227607727051
Le Havre vs Metz,Le Havre,Metz,2026-04-26 15:15:00+00:00,Away Win,0.7636227607727051,5.6,0.17857142857142858,0.5850513322012765,3.2762874603271483,17.805910110473633,0.7636227607727051
Wolves vs Tottenham,Wolves,Tottenham,2026-04-25 14:00:00+00:00,Home Win,0.7817646861076355,4.6,0.2173913043478261,0.5643733817598093,2.596117556095123,18.028594139549465,0.7817646861076355
Osasuna vs Sevilla,Osasuna,Sevilla,2026-04-26 16:30:00+00:00,Away Win,0.7988654375076294,3.66,0.27322404371584696,0.5256413937917824,1.9238475012779235,18.081273508251158,0.7988654375076294
West Ham vs Everton,West Ham,Everton,2026-04-25 14:00:00+00:00,Home Win,0.7419000864028931,2.5,0.4,0.34190008640289304,0.8547502160072327,14.245836933453878,0.7419000864028931
Fulham vs Aston Villa,Fulham,Aston Villa,2026-04-25 11:30:00+00:00,Away Win,0.6800367832183838,2.53,0.3952569169960475,0.2847798662223363,0.7204930615425109,11.772762443505082,0.6800367832183838
Lazio vs Udinese,Lazio,Udinese,2026-04-27 18:45:00+00:00,Home Win,0.7973740100860596,2.08,0.4807692307692307,0.31660477931682884,0.658537940979004,15.243933818958425,0.7973740100860596
Lyon vs Auxerre,Lyon,Auxerre,2026-04-25 13:00:00+00:00,Home Win,0.8527393341064453,1.69,0.591715976331361,0.26102335777508434,0.4411294746398925,15.98295197970625,0.8527393341064453
Arsenal vs Newcastle,Arsenal,Newcastle,2026-04-25 16:30:00+00:00,Home Win,0.861877977848053,1.52,0.6578947368421053,0.20398324100594767,0.31005452632904057,14.906467611973104,0.861877977848053
