match,home_team,away_team,date,outcome,model_probability,bookmaker_odds,bookmaker_probability,edge,expected_value,kelly_stake_pct,confidence
Rennes vs Angers,Rennes,Angers,2026-04-11 19:05:00+00:00,Away Win,0.7681236267089844,9.5,0.10526315789473684,0.6628604688142475,6.297174453735352,18.52110133451574,0.7681236267089844
Cagliari vs Cremonese,Cagliari,Cremonese,2026-04-11 13:00:00+00:00,Away Win,0.8106971383094788,3.9,0.25641025641025644,0.5542868818992224,2.161718839406967,18.635507236266957,0.8106971383094788
Fiorentina vs Lazio,Fiorentina,Lazio,2026-04-13 18:45:00+00:00,Away Win,0.8515018224716187,3.59,0.2785515320334262,0.5729502904381925,2.0568915426731107,19.854165469817673,0.8515018224716187
Bologna vs Lecce,Bologna,Lecce,2026-04-12 16:00:00+00:00,Away Win,0.5647914409637451,5.23,0.19120458891013384,0.3735868520536113,1.9538592362403873,11.547631419860444,0.5647914409637451
RB Leipzig vs Borussia Mönchengladbach,RB Leipzig,Borussia Mönchengladbach,2026-04-11 13:30:00+00:00,Away Win,0.4055216312408447,6.4,0.15625,0.24927163124084473,1.5953384399414063,7.385826110839844,0.4973629415035248
Toulouse vs Lille,Toulouse,Lille,2026-04-12 15:15:00+00:00,Home Win,0.7792179584503174,3.27,0.3058103975535168,0.4734075608968006,1.5480427241325379,17.048928679873764,0.7792179584503174
Parma vs Napoli,Parma,Napoli,2026-04-12 13:00:00+00:00,Draw,0.5844095349311829,4.07,0.24570024570024568,0.3387092892309372,1.3785468071699145,11.225951198452073,0.5844095349311829
Athletic Club vs Villarreal,Athletic Club,Villarreal,2026-04-12 19:00:00+00:00,Away Win,0.716358482837677,3.2,0.3125,0.403858482837677,1.2923471450805666,14.685763012279166,0.716358482837677
Arsenal vs Bournemouth,Arsenal,Bournemouth,2026-04-11 11:30:00+00:00,Away Win,0.28038638830184937,7.9,0.12658227848101264,0.15380410982083673,1.2150524675846102,4.402364012987717,0.693569004535675
Levante vs Getafe,Levante,Getafe,2026-04-13 19:00:00+00:00,Away Win,0.7111095786094666,3.0,0.3333333333333333,0.37777624527613324,1.1333287358283997,14.166609197854996,0.7111095786094666
Genoa vs Sassuolo,Genoa,Sassuolo,2026-04-12 10:30:00+00:00,Away Win,0.5647914409637451,3.62,0.27624309392265195,0.28854834704109317,1.0445450162887573,9.967032598175164,0.5647914409637451
Atalanta vs Juventus,Atalanta,Juventus,2026-04-11 18:45:00+00:00,Away Win,0.8515018224716187,2.33,0.4291845493562232,0.42231727311539546,0.9839992463588716,18.496226435317134,0.8515018224716187
Crystal Palace vs Newcastle,Crystal Palace,Newcastle,2026-04-12 13:00:00+00:00,Away Win,0.8396730422973633,2.32,0.4310344827586207,0.40863855953874256,0.9480414581298826,17.955330646399297,0.8396730422973633
Elche vs Valencia,Elche,Valencia,2026-04-11 14:15:00+00:00,Away Win,0.6493486166000366,2.98,0.33557046979865773,0.3137781468013789,0.9350588774681092,11.806298957930672,0.6493486166000366
Lyon vs Lorient,Lyon,Lorient,2026-04-12 18:45:00+00:00,Away Win,0.3543458580970764,5.25,0.19047619047619047,0.16386966762088595,0.8603157550096512,5.0606809118214775,0.5581032037734985
Auxerre vs Nantes,Auxerre,Nantes,2026-04-11 17:00:00+00:00,Away Win,0.42061102390289307,4.4,0.22727272727272727,0.1933382966301658,0.8506885051727295,6.2550625380347755,0.42061102390289307
AC Milan vs Udinese,AC Milan,Udinese,2026-04-11 16:00:00+00:00,Away Win,0.216570645570755,8.5,0.11764705882352941,0.0989235867472256,0.8408504873514175,2.8028349578380585,0.6538225412368774
Parma vs Napoli,Parma,Napoli,2026-04-12 13:00:00+00:00,Home Win,0.2693122327327728,6.5,0.15384615384615385,0.11546607888661897,0.7505295127630234,3.41149778528647,0.5844095349311829
Burnley vs Brighton,Burnley,Brighton,2026-04-11 14:00:00+00:00,Draw,0.3952922821044922,4.3,0.23255813953488372,0.16273414256960847,0.6997568130493164,5.301187977646336,0.450125515460968
Brentford vs Everton,Brentford,Everton,2026-04-11 14:00:00+00:00,Away Win,0.4329834580421448,3.68,0.2717391304347826,0.16124432760736218,0.5933791255950929,5.5352530372676565,0.45876041054725647
Sunderland vs Tottenham,Sunderland,Tottenham,2026-04-12 13:00:00+00:00,Home Win,0.5839670300483704,2.72,0.3676470588235294,0.21631997122484098,0.5883903217315676,8.552184908889062,0.5839670300483704
VfL Wolfsburg vs Eintracht Frankfurt,VfL Wolfsburg,Eintracht Frankfurt,2026-04-11 13:30:00+00:00,Away Win,0.5322765707969666,2.68,0.3731343283582089,0.15914224243875763,0.42650120973587047,6.346744192498072,0.5322765707969666
Nice vs Le Havre,Nice,Le Havre,2026-04-12 15:15:00+00:00,Home Win,0.6458954811096191,2.0,0.5,0.14589548110961914,0.2917909622192383,7.294774055480957,0.6458954811096191
Liverpool vs Fulham,Liverpool,Fulham,2026-04-11 16:30:00+00:00,Home Win,0.6460100412368774,1.7,0.5882352941176471,0.05777474711923036,0.0982170701026916,3.507752503667557,0.6460100412368774
